Year,Transect,Quadrat,Association_Type,Association_Subtype,AGST2,ALGE2,ALPL,BICE,CALY3,CAPAP6,CIAR4,DECE,DUAR3,ELPA3,EQFL,EQPA,EQVA,FEAR3,Festuca_sp,GATR3,HOBR2,HYFO7,IMCA,JUAR,JUEF,JUOX,LAPA4,LEOR,LIOC,LISC4,LYSA2,LYTH2,MEAQ,MEAR4,METR3,MIGU,MYSC,OESA,PHAR3,PLDID,POHY,POPA2,POPA23,POTR2,PUPA3,RUCO2,RUOC3,SALA2,Salix_sp,SALUL,SASI2,SCTA2,SIHE4,SISU2,SOAR2,SYEA2,TRWO,TYLA,ZAPA
1979,Q,1,1,1a,3,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979,Q,2,2,2,3,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1979,Q,3,1,1b,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0
1979,Q,4,1,1b,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
1979,Q,5,1,1c,2,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1979,Q,6,3,3a,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
1979,Q,7,1,1b,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1979,Q,8,1,1b,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1979,R,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1979,R,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
