Date,Transect,Tape_m,Boundary,Original_quadrat,LAT,LON,Unique_quadrat,Community,Relative_elev,FS-BS,True_elev_m,Ground,Stems,Wrack,Thatch,LWD,Notes,SALA2,EQFL,EQAR,TYLA,PHAR3,IMCA,CALY3,SALUL,SASC,METR3,POPA23,LAPA4,LYSA2,AGST2,TRWO,JUAC,ELPA3,MEAQ,LYTH2,RUOC3,SCTA2,SYSU4,JUAR,MEAR4,CAPAP6,BICE,SIHE4,IRPS,GATR2,JUEF,SCMI2,HYSC5,FEAR3,GAPA3,JUOX,MYSC,SYFO,HOBR2,RUCO2,PLDID,MYGA,CIAR4,Lycopus_sp
19-Jun,V,5.5,quadrat,V1,49.10429167,-123.0872917,1,EQAR-CALY,2.306,-0.119,1.266,0.484,0.5,0.75,0,0.016,,,0.33,,0.02,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,20.5,quadrat,V2,49.10481111,-123.0878583,2,Willow-Forb,2.278,-0.147,1.294,0.438,0.563,0.25,0,0,,,,,,,0.06,0.25,0.06,,0.06,0.06,0.02,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,36.25,quadrat,V3,49.10486944,-123.0879194,3,CALY,2.33,-0.095,1.242,0.25,0.75,0,0,0,,,,,,,,0.75,,,0.06,0.25,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,46.5,quadrat,V4,49.10496667,-123.088025,4,METR-ELPA,2.403,-0.022,1.169,0.5,0.5,0,0,0,,,,,,,,,0.06,,0.44,0.01,,0.09,0.02,0.02,0.19,0.19,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,53.2,quadrat,V5,49.10510833,-123.0881389,5,CALY-METR,2.48,0.055,1.092,0.6,0.4,0,0,0,,,,0.01,,,,0.25,0.06,,0.5,0.06,,,0.03,0.02,,,0.5,0.02,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,
19-Jun,V,61.2,quadrat,V6,49.10522222,-123.0882306,6,METR-ELPA,2.47,0.045,1.102,0.6,0.4,0,0,0,,,,0.02,,,,,,,0.5,,,,0.03,,,0.02,0.63,0.01,0.05,,,,,,0.02,,,,,,,,,,,,,,,,,
19-Jun,V,70.55,quadrat,V7,49.10528611,-123.0882806,7,METR-MEAQ,2.505,0.08,1.067,0.7,0.3,0,0,0,,,,0.02,,,,,,,0.5,0.01,,0.03,0.19,,,0.01,0.5,0.01,,0.02,0.06,,,,0.01,,,,,,,,,,,,,,,,,
19-Jun,V,76.35,quadrat,V8,49.10540833,-123.0883778,8,CALY-METR,2.535,0.11,1.037,0.4,0.6,0,0,0,,,,0.05,,,,0.25,,,0.03,0.02,,,0.33,,,0.03,0.06,,,,0.02,0.02,,,0.01,,,,,,,,,,,,,,,,,0.06
19-Jun,V,84.15,quadrat,V9,49.10549167,-123.0884417,9,ELPA,2.544,0.119,1.028,0.7,0.3,0,0,0,,,,0.02,,,0.01,,0.01,,0.02,,,,0.13,,,0.33,0.5,,,,0.01,,,,0.06,,,,,,,,,,,,,,,,,
21-Jun,V,97.4,quadrat,V10,49.10440278,-123.0874139,10,Undefined,1.63,0.005,,0.35,0.65,0,0,0,,,,0.06,,,,0.25,,,,0.02,,,0.25,,,0.5,0.33,,0.03,,0.02,,,,0.02,0.25,0.02,,,,,,,,,,,,,,,
