"","Species","1979","1999","2019","Status"
"1","Agrostis_stolonifera",1.63414634146341,1.53658536585366,1.10810810810811,"Exotic"
"2","Alisma_plantago.aquatica",0.219512195121951,0.121951219512195,0,"Exotic"
"3","Alopecurus_geniculatus",0.024390243902439,0,0,"Native"
"4","Bidens_cernua",0.463414634146341,0.292682926829268,0.135135135135135,"Native"
"5","Caltha_palustris",0.902439024390244,0.390243902439024,0.0540540540540541,"Native"
"6","Carex_lyngbei",1.60975609756098,0,0,"Native"
"7","Carex_lyngbyei",0,1.79268292682927,1.13513513513514,"Native"
"8","Carex_sp1",0,0.024390243902439,0,"Unknown"
"9","Carex_sp2",0,0,0,"Native"
"10","Cirsium_arvense",0,0.024390243902439,0.0135135135135135,"Exotic"
"11","Composite_unidentif",0,0.0121951219512195,0,"Native"
"12","Deschampsia_caespitosa",0.365853658536585,0.0853658536585366,0,"Native"
"13","Dulichium_arundinaceum",0.024390243902439,0,0,"Native"
"14","Eleocharis_palustris",0.817073170731707,0.439024390243902,0.297297297297297,"Native"
"15","Equisetum_arvense",0,0,0.594594594594595,"Native"
"16","Equisetum_fluviatile",0.902439024390244,0.621951219512195,0.121621621621622,"Native"
"17","Equisetum_palustre",0.268292682926829,0.134146341463415,0,"Native"
"18","Equisetum_variegatum",0,0.024390243902439,0,"Native"
"19","Festuca_arundinacea",0.585365853658537,0.439024390243902,0.243243243243243,"Exotic"
"20","Festuca_sp",0.0121951219512195,0,0,"Unknown"
"21","Galium_palustre",0,0,0.0135135135135135,"Native"
"22","Galium_sp",0,0.0365853658536585,0,"Unknown"
"23","Galium_trifidum",0.0121951219512195,0,0.175675675675676,"Native"
"24","Grass_unid",0,0.0609756097560976,0,"Native"
"25","Hordeum_brachyantherum",0.0609756097560976,0,0.027027027027027,"Native"
"26","Hypericum_formosum",0,0,0,"Native"
"27","Hypericum_scouleri",0.195121951219512,0,0.0405405405405405,"Native"
"28","Impatiens_capensis",0.158536585365854,0.670731707317073,0.594594594594595,"Native"
"29","Iris_pseudacorus",0,0,0.22972972972973,"Exotic"
"30","Iris_pseudocorus",0,0.182926829268293,0,"Native"
"31","Juncus_acuminatus",0,0,0.0135135135135135,"Native"
"32","Juncus_articulatus",0.24390243902439,0.109756097560976,0.121621621621622,"Native"
"33","Juncus_effusus",0,0,0.0135135135135135,"Native"
"34","Juncus_oxymeris",0.0121951219512195,0.0609756097560976,0.027027027027027,"Native"
"35","Lathyrus_palustris",0.231707317073171,0.195121951219512,0.5,"Native"
"36","Leersia_oryzoides",0.182926829268293,0.24390243902439,0,"Native"
"37","Lilaea_scilloides",0,0,0,"Native"
"38","Lilaeopsis_occidentalis",0.134146341463415,0,0,"Native"
"39","Llilaeopsis_occidentalis",0,0.0365853658536585,0,"Native"
